message,light,capacity,uvIndex,tempCanSat,tempMPU,tempExternal,humCanSat,humExternal,airQuality,pressCanSat,pressExternal,altCanSat,altExternal,accX,accY,accZ,rotX,rotY,rotZ,magX,magY,magZ,year,month,day,hour,minute,second,numOfSats,latInt,lonInt,latAfterDot,lonAfterDot,voltage_shunt,voltage_bus,current_mA,voltage_load
1986,0,97,0.00,29.91,26.48,25.39,27.38,28.54,32.89,937.80,937.23,647.97,653.10,-0.11,2.11,-9.22,-0.69,-5.86,5.76,-2.68,83.78,13.95,2000,0,0,12,18,39,9,4948,1302,10162,27515,4.94,4.10,49.50,4.10
1987,0,97,0.00,29.90,26.51,25.38,27.38,28.50,2.13,937.67,937.16,649.13,653.60,0.38,1.51,-8.71,-3.38,-5.22,2.53,-2.86,85.75,14.12,2019,4,25,12,18,40,9,0,0,0,0,5.24,4.10,57.50,4.10
1988,0,96,0.00,29.90,26.50,25.37,27.38,28.47,2.12,937.82,937.11,647.81,654.11,0.21,1.02,-9.70,-3.57,-5.34,-0.60,-1.43,84.67,14.46,2019,4,25,12,18,40,9,0,0,0,0,4.94,4.10,50.30,4.10
1989,0,95,0.00,29.89,26.49,25.37,27.37,28.48,32.10,937.81,937.13,647.94,653.91,-0.10,0.77,-9.03,-1.99,-7.10,2.84,-2.86,84.67,14.12,2000,0,0,12,18,41,9,4948,1302,10184,27499,5.55,4.10,55.20,4.10
1990,0,97,0.00,29.90,26.48,25.36,27.37,28.51,34.13,937.85,937.32,647.56,652.23,-0.02,0.85,-9.54,1.37,-3.34,1.29,-3.04,84.50,13.26,2019,4,25,12,18,42,9,0,0,0,0,5.11,4.10,50.80,4.10
1991,0,97,0.00,29.89,26.48,25.36,27.37,28.55,36.85,937.80,937.16,648.01,653.73,0.06,0.37,-9.27,-4.11,-5.60,2.47,-3.75,85.57,12.91,2019,4,25,12,18,42,9,0,0,0,0,5.11,4.10,56.50,4.10
1992,0,97,0.00,29.89,26.48,25.36,27.35,28.59,34.81,937.89,937.35,647.19,652.03,0.18,0.62,-8.92,-8.80,-7.49,0.13,-2.14,84.67,13.09,2000,0,0,12,18,43,9,4948,1302,10232,27456,5.03,4.10,54.00,4.10
1993,0,97,0.00,29.89,26.48,25.36,27.35,28.60,35.62,937.91,937.31,646.99,652.34,-0.08,1.70,-8.93,-2.47,-4.52,-0.74,-1.61,84.14,13.60,2019,4,25,12,18,44,9,0,0,0,0,5.09,4.10,52.50,4.11
1994,0,96,0.00,29.89,26.49,25.35,27.35,28.60,32.89,938.01,937.26,646.17,652.80,0.58,0.56,-9.00,-2.43,-4.25,-0.30,-2.86,85.39,12.40,2019,4,25,12,18,44,9,0,0,0,0,5.06,4.10,54.20,4.11
1995,0,96,0.00,29.88,26.48,25.35,27.38,28.55,32.76,937.92,937.37,646.94,651.85,-0.09,1.85,-9.49,-1.43,-6.92,-0.93,-1.07,86.10,11.71,2000,0,0,12,18,45,9,4948,1302,10250,27452,4.83,4.10,51.20,4.10
1996,0,96,0.00,29.88,26.48,25.34,27.34,28.54,2.80,937.99,937.27,646.36,652.75,0.48,0.81,-9.47,-1.54,-5.20,1.94,-0.89,85.57,14.29,2019,4,25,12,18,46,9,0,0,0,0,4.89,4.10,51.30,4.10
1997,0,97,0.00,29.88,26.48,25.34,27.35,28.54,32.76,937.98,937.26,646.43,652.79,-0.01,0.23,-9.60,-1.46,-4.34,0.99,-2.68,86.28,13.60,2019,4,25,12,18,46,9,0,0,0,0,4.94,4.10,51.50,4.10
1998,0,96,0.00,29.87,26.48,25.34,27.34,28.51,34.12,937.92,937.31,646.93,652.35,0.19,0.84,-9.15,-2.46,-3.55,1.91,-2.50,83.96,12.40,2000,0,0,12,18,47,9,4948,1302,10267,27407,5.01,4.10,48.80,4.10
1999,0,97,0.00,29.87,26.46,25.34,27.34,28.53,32.78,937.93,937.30,646.88,652.47,0.03,1.21,-9.66,-4.59,-3.90,-1.96,-1.61,85.57,12.23,2019,4,25,12,18,48,9,0,0,0,0,5.43,4.10,56.00,4.10
2000,0,97,0.00,29.87,26.47,25.33,27.34,28.52,32.21,937.87,937.28,647.39,652.61,-0.03,1.50,-8.78,-1.43,-7.84,0.46,-2.68,85.57,14.98,2019,4,25,12,18,48,9,0,0,0,0,4.87,4.10,49.20,4.10
2001,0,97,0.00,29.86,26.48,25.32,27.34,28.48,32.08,937.87,937.31,647.42,652.32,-0.38,0.38,-9.53,-2.33,-8.59,1.37,-2.68,87.35,11.54,2000,0,0,12,18,49,9,4948,1302,10238,27416,4.88,4.10,49.00,4.10
2002,0,97,0.00,29.86,26.48,25.32,27.34,28.47,32.08,937.95,937.27,646.72,652.67,-0.41,0.67,-9.63,-1.51,-2.93,4.23,-1.79,85.39,13.78,2019,4,25,12,18,50,9,0,0,0,0,4.89,4.10,49.80,4.10
2003,0,97,0.00,29.86,26.47,25.32,27.34,28.47,35.62,937.99,937.30,646.28,652.42,-0.28,1.19,-9.67,-4.58,-7.05,0.98,-4.29,86.82,13.78,2019,4,25,12,18,50,9,0,0,0,0,5.13,4.10,54.60,4.11
2004,0,96,0.00,29.86,26.48,25.33,27.35,28.50,34.26,938.04,937.30,645.85,652.40,0.15,0.41,-9.50,-5.51,-1.16,-0.94,-2.86,85.39,13.09,2000,0,0,12,18,51,9,4948,1302,10258,27368,5.02,4.10,52.20,4.11
2005,0,96,0.00,29.86,26.47,25.33,27.34,28.52,31.54,937.91,937.29,647.06,652.52,0.45,0.49,-9.06,-2.59,-5.02,-0.29,-3.57,85.03,12.74,2019,4,25,12,18,52,9,0,0,0,0,5.24,4.10,49.40,4.11
2006,0,97,0.00,29.85,26.47,25.32,27.35,28.54,33.45,937.98,937.34,646.39,652.08,-0.16,0.48,-9.23,1.18,-5.53,2.16,-1.97,84.50,12.91,2019,4,25,12,18,52,9,0,0,0,0,5.19,4.10,53.40,4.10
2007,33708,97,1.32,29.89,26.45,25.30,27.28,28.58,36.84,938.20,937.54,644.49,650.30,2.02,4.17,-9.55,-247.40,239.72,37.11,14.47,96.64,15.33,2000,0,0,12,18,53,9,4948,1302,10212,27387,4.93,4.10,51.70,4.10
2008,52908,97,1.24,29.91,26.42,25.15,27.24,28.62,33.45,938.34,937.65,643.24,649.37,2.00,1.52,-11.59,-48.79,108.24,6.93,13.58,92.53,17.22,2019,4,25,12,18,54,9,0,0,0,0,5.08,4.10,51.40,4.10
2009,54612,97,1.12,29.95,26.32,25.05,27.14,28.70,39.44,938.54,937.85,641.43,647.61,-0.51,1.69,-10.70,69.00,-13.20,-50.60,14.47,69.13,23.59,2019,4,25,12,18,54,9,0,0,0,0,5.22,4.09,60.30,4.10
2010,54612,96,0.55,29.99,26.17,24.99,27.08,28.79,34.80,938.80,938.19,639.12,644.54,-0.15,1.56,-9.13,-1.58,-12.05,-46.01,-10.00,83.25,16.19,2000,0,0,12,18,55,9,4948,1302,10191,27288,4.90,4.10,49.40,4.10
